gcid,Category
aadhar_center,Aadhaar center
abarth_dealer,Abarth dealer
abbey,Abbey
aboriginal_and_torres_strait_islander_organisation,Aboriginal and Torres Strait Islander organisation
aboriginal_art_gallery,Aboriginal art gallery
abortion_clinic,Abortion clinic
abrasives_supplier,Abrasives supplier
abundant_life_church,Abundant Life church
acai_shop,Açaí shop
acaraje_restaurant,Acaraje restaurant
accountant,Accountant
accounting_firm,Accounting firm
accounting_school,Accounting school
accounting_software_company,Accounting software company
acoustical_consultant,Acoustical consultant
acrobatic_diving_pool,Acrobatic diving pool
acrylic_store,Acrylic store
acupuncture_clinic,Acupuncture clinic
acupuncture_school,Acupuncture school
acupuncturist,Acupuncturist
acura_dealer,Acura dealer
addiction_treatment_center,Addiction treatment center
administrative_attorney,Administrative attorney
adoption_agency,Adoption agency
adult_day_care_center,Adult day care center
adult_dvd_store,Adult DVD store
adult_education_school,Adult education school
adult_entertainment_club,Adult entertainment club
adult_entertainment_store,Adult entertainment store
adult_foster_care_service,Adult foster care service
adventure_sports,Adventure sports
adventure_sports_center,Adventure sports center
advertising_agency,Advertising agency
advertising_photographer,Commercial photographer
aerated_drinks_supplier,Aerated drinks supplier
aerial_installation_service,Antenna service
aerial_photographer,Aerial photographer
aerial_sports_center,Aerial sports center
aero_dance_class,Aero dance class
aerobics_instructor,Aerobics instructor
aeroclub,Aeroclub
aeromodel_shop,Aeromodel shop
aeronautical_engineer,Aeronautical engineer
aerospace_company,Aerospace company
afghani_restaurant,Afghan restaurant
african_goods_store,African goods store
african_restaurant,African restaurant
after_school_program,After school program
agenzia_entrate,Agenzia Entrate
aggregate_supplier,Aggregate supplier
agistment_service,Agistment service
agricultural_association,Agricultural association
agricultural_cooperative,Agricultural cooperative
agricultural_engineer,Agricultural engineer
agricultural_high_school,Agricultural high school
agricultural_machinery_manufacturer,Agricultural machinery manufacturer
agricultural_organization,Agricultural organization
agricultural_product_wholesaler,Agricultural product wholesaler
agricultural_production,Agricultural production
agricultural_service,Agricultural service
agriculture_cooperative,Agriculture cooperative
agrochemicals_supplier,Agrochemicals supplier
aikido_club,Aikido club
aikido_school,Aikido school
air_compressor_repair_service,Air compressor repair service
air_compressor_supplier,Air compressor supplier
air_conditioning_contractor,Air conditioning contractor
air_conditioning_repair_service,Air conditioning repair service
air_conditioning_store,Air conditioning store
air_conditioning_system_supplier,Air conditioning system supplier
air_duct_cleaning_service,Air duct cleaning service
air_filter_supplier,Air filter supplier
air_force_base,Air force base
air_taxi,Air taxi
airbrushing_service,Airbrushing service
airbrushing_supply_store,Airbrushing supply store
aircraft_dealer,Aircraft dealer
aircraft_maintenance_company,Aircraft maintenance company
aircraft_manufacturer,Aircraft manufacturer
aircraft_rental_service,Aircraft rental service
aircraft_supply_store,Aircraft supply store
airline,Airline
airline_ticket_agency,Airline ticket agency
airplane_exhibit,Airplane
airport,Airport
airport_shuttle_service,Airport shuttle service
airsoft_gun_shop,Airsoft supply store
airstrip,Airstrip
alcohol_manufacturer,Alcohol manufacturer
alcohol_retail_monopoly,Alcohol retail monopoly
alcoholic_beverage_wholesaler,Alcoholic beverage wholesaler
alcoholism_treatment_program,Alcoholism treatment program
alfa_romeo_dealer,Alfa Romeo dealer
allergist,Allergist
alliance_church,Alliance church
alsace_restaurant,Alsace restaurant
alternative_fuel_station,Alternative fuel station
alternative_medicine_practitioner,Alternative medicine practitioner
alternator_supplier,Alternator supplier
aluminium_supplier,Aluminum supplier
aluminum_frames_supplier,Aluminum frames supplier
aluminum_welder,Aluminum welder
aluminum_window,Aluminum window
amateur_theatre,Amateur theater
ambulance_service,Ambulance service
american_grocery_store,American grocery store
american_restaurant,American restaurant
amish_furniture_store,Amish furniture store
ammunition_supplier,Ammunition supplier
amphitheatre,Amphitheater
amusement_center,Amusement center
amusement_machine_supplier,Amusement machine supplier
amusement_park,Amusement park
amusement_park_ride,Amusement park ride
amusement_ride_supplier,Amusement ride supplier
an_hui_restaurant,Anhui restaurant
anago_restaurant,Anago restaurant
andalusian_restaurant,Andalusian restaurant
andhra_restaurant,Andhra restaurant
anesthesiologist,Anesthesiologist
anganwadi_center,Anganwadi center
angler_fish_restaurant,Angler fish restaurant
anglican_church,Anglican church
animal_control_service,Animal control service
animal_hospital,Animal hospital
animal_park,Animal park
animal_protection_organization,Animal protection organization
animal_rescue_service,Animal rescue service
animal_shelter,Animal shelter
animal_watering_hole,Animal watering hole
animation_studio,Animation studio
anime_club,Anime club
anodizer,Anodizing service
antique_furniture_restoration_service,Antique furniture restoration service
antique_furniture_store,Antique furniture store
antique_store,Antique store
apartment_building,Apartment building
apartment_complex,Apartment complex
apartment_rental_agency,Apartment rental agency
apostolic_church,Apostolic church
appliance_parts_supplier,Appliance parts supplier
appliance_rental_service,Appliance rental service
appliance_repair_service,Appliance repair service
appliance_store,Appliance store
appliances_customer_service,Appliances customer service
appraiser,Appraiser
apprenticeship_center,Apprenticeship center
aquaculture_farm,Aquaculture farm
aquarium,Aquarium
aquarium_shop,Aquarium shop
aquatic_center,Aquatic centre
arab_restaurant,Arab restaurant
arboretum,Arboretum
arborist_and_tree_surgeon,Arborist and tree surgeon
archaeological_museum,Archaeological museum
archery_club,Archery club
archery_range,Archery range
archery_store,Archery store
architect,Architect
architects_association,Architects association
architectural_and_engineering_model_maker,Architectural and engineering model maker
architectural_designer,Architectural designer
architectural_salvage_store,Architectural salvage store
architecture_firm,Architecture firm
architecture_school,Architecture school
archive,Archive
arena,Arena
argentinian_restaurant,Argentinian restaurant
armed_forces_association,Armed forces association
armenian_church,Armenian church
armenian_restaurant,Armenian restaurant
army_and_navy_store,Army & navy surplus shop
army_base,Army barracks
army_facility,Army facility
army_museum,Army museum
aromatherapy_class,Aromatherapy class
aromatherapy_service,Aromatherapy service
aromatherapy_supply_store,Aromatherapy supply store
art_cafe,Art cafe
art_center,Art center
art_dealer,Art dealer
art_gallery,Art gallery
art_handcraft,Art handcraft
art_museum,Art museum
art_restoration_service,Art restoration service
art_school,Art school
art_studio,Art studio
art_supply_store,Art supply store
artificial_plant_supplier,Artificial plant supplier
artist,Artist
arts_organization,Arts organization
asador,Grill
asbestos_testing_service,Asbestos testing service
ashram,Ashram
asian_fusion_restaurant,Asian fusion restaurant
asian_grocery_store,Asian grocery store
asian_household_goods_store,Asian household goods store
asian_restaurant,Asian restaurant
asphalt_contractor,Asphalt contractor
asphalt_mixing_plant,Asphalt mixing plant
assamese_restaurant,Assamese restaurant
assemblies_of_god_church,Assemblies of God church
assembly_room,Assembly room
assistante_maternelle,Assistante maternelle
assisted_living_facility,Assisted living facility
association_or_organization,Association or organization
aston_martin_dealer,Aston Martin dealer
astrologer,Astrologer
asturian_restaurant,Asturian restaurant
athletic_club,Athletic club
athletic_field,Athletic field
athletic_park,Athletic park
athletic_track,Athletic track
atm,ATM
attorney_referral_service,Attorney referral service
atv_dealer,ATV dealer
atv_rental_service,ATV rental service
atv_repair_shop,ATV repair shop
auction_house,Auction house
audi_dealer,Audi dealer
audio_visual_consultant,Audio visual consultant
audio_visual_equipment_rental_service,Audiovisual equipment rental service
audio_visual_equipment_repair_service,Audio visual equipment repair service
audio_visual_equipment_supplier,Audio visual equipment supplier
audiologist,Audiologist
auditor,Auditor
auditorium,Auditorium
australian_goods_store,Australian goods store
australian_restaurant,Australian restaurant
austrian_restaurant,Austrian restaurant
auto_accessories_wholesaler,Auto accessories wholesaler
auto_air_conditioning_service,Auto air conditioning service
auto_auction,Auto auction
auto_body_parts_supplier,Auto body parts supplier
auto_body_shop,Auto body shop
auto_bodywork_mechanic,Auto bodywork mechanic
auto_broker,Auto broker
auto_chemistry_shop,Auto chemistry shop
auto_dent_removal_service,Auto dent removal service
auto_electrical_service,Auto electrical service
auto_glass_repair_service,Auto glass repair service
auto_glass_shop,Auto glass shop
auto_insurance_agency,Auto insurance agency
auto_machine_shop,Auto machine shop
auto_market,Auto market
auto_painting,Auto painting
auto_parts_manufacturer,Auto parts manufacturer
