"google","gcid","infogroup","acxiom","localeze","factual","foursquare","superpages","elocal","botw","bing","citygrid","thomsonlocal","centralindex","navads","gmb","judysbook","apple","synup"
"ATM","gcid:atm","automated teller machines","automated teller machines (atm)","banks commercial","businesses and services,financial,banking and finance,atms","bank","atm locations","banks & credit unions","banks & other","atms","atm","banks & financial institutions","banks","atm","atm","ATM","ATM","Banks & Credit Unions"
"ATV Dealer","gcid:atv_dealer","all terrain vehicles","all terrain vehicles","all terrain vehicles","automotive,motorcycles, mopeds and scooters","motorcycle shop","atv dealers","snowmobiles & atvs","all terrain vehicles","atv dealer","all terrain vehicle dealers","motor cycles & scooters","motorbike and scooters retail","atv dealer","atv dealer","ATV Dealer","ATV","Motorcycle Dealers"
"ATV Repair Shop","gcid:atv_repair_shop","all terrain vehicles","atv four wheel repair & service","all terrain vehicles","automotive,motorcycles, mopeds and scooters","motorcycle shop","motorcycles, motor scooters, & atvs service & repair","snowmobiles & atvs","all terrain vehicles repairing & service","atv repair shop","off road vehicle repair","motor cycle repairs","motorbike and scooter service and repair","atv repair shop","atv repair shop","ATV Repair Shop","Motorcycle Repair","Motorcycle Repair"
"Abbey","gcid:abbey","convents & monasteries","convents & monasteries","convents & monasteries","community and government,religious","spiritual center","convents & monasteries","religious centers & organizations","convents & monasteries","convents & monasteries","convents & monasteries","religious organisations","places of worship","abbey","abbey","Abbey","Religious Organisations","Community Service/Non-Profit"
"Abortion Clinic","gcid:abortion_clinic","abortion information & services","abortion services","abortion services","healthcare,hospitals, clinics and medical centers","doctor's office","abortion clinics","family planning","clinics abortion","abortion services","abortion clinics","abortion advice","nhs clinics","abortion clinic","abortion clinic","Abortion Clinic","Hospitals","Hospitals"
"Abrasives Supplier","gcid:abrasives_supplier","abrasives (whls)","abrasives","abrasives","businesses and services,industrial machinery and vehicles","miscellaneous shop","abrasives & abrasive products","industrial products","abrasives wholesale & manufacturers","abrasives supplier","wholesale abrasives","abrasive products - mnfrs & distributors","abrasive products - wholesale and supply","abrasives supplier","abrasives supplier","Abrasives Supplier","Local Services","Consulting/Business Services"
"Abundant Life Church","gcid:abundant_life_church","places of worship","churches abundant life","churches","community and government,religious,churches","church","churches","churches","churches abundant life","abundant life church","churches","places of worship","places of worship","abundant life church","abundant life church","Abundant Life Church","Religious Organisations","Church"
"Accountant","gcid:accountant","accountants","accountants","accounting & bookkeeping services","businesses and services,financial,accounting and bookkeeping","financial or legal service","accountants","accountants & tax services","accountants","accountant","certified public accountants","accountants","accountants","accountant","accountant","Accountant","Accountants","Accountants"
"Accounting School","gcid:accounting_school","schools-accounting","school  accounting & bookkeeping","accounting & bookkeeping services","community and government,education","school","accounting & bookkeeping schools","vocational schools & instructors","schools accounting","accounting & bookkeeping","accounting schools","accounting & bookkeeping services","accountants","accounting school","accounting school","Accounting School","Vocational School","Accountants"
"Acoustical Consultant","gcid:acoustical_consultant","acoustical consultants","acoustical contractors","acoustical contractors","businesses and services,engineering","office","acoustical engineers & consultants","professional services","acoustical contractors","acoustical consultant","acoustical contractors","acoustic consultants","acoustic consultants","acoustical consultant","acoustical consultant","Acoustical Consultant","Local Services","Consulting/Business Services"
"Acupuncture Clinic","gcid:acupuncture_clinic","acupuncture","acupuncture clinic","acupuncturist","healthcare,holistic, alternative and naturopathic medicine,acupuncture","doctor's office","acupuncture clinics","acupuncture","acupuncture acupressure & meridian therapy","acupuncturists","acupuncture","acupuncture","acupuncture","acupuncture clinic","acupuncture clinic","Acupuncture Clinic","Acupuncture","Acupuncture"
"Acupuncture School","gcid:acupuncture_school","acupuncture schools","school business & vocational acupuncture","acupuncturist","community and government,education","school","acupuncture schools","vocational schools & instructors","acupuncture schools","acupuncture school","acupuncture schools","acupuncture","schools","acupuncture school","acupuncture school","Acupuncture School","Vocational School","Acupuncture"
"Acura Dealer","gcid:acura_dealer","automobile dealers-new cars","automobile dealers acura","automobile dealers new & used","automotive,car dealers and leasing","car dealership","auto dealers","car dealerships","automobile dealers new cars","acura dealer","acura","car dealers","car dealers","acura dealer","acura dealer","Acura Dealer","Car Dealers","Car Dealers"
"Addiction Treatment Center","gcid:addiction_treatment_center","addiction treatment centers","alcohol & drug counseling","drug & alcohol resources","community and government,drug and alcohol services","medical center","alcohol & drug abuse information & treatment","addiction treatment","drug abuse & addiction information & treatment","addiction treatment center","addiction treatment","addiction rehabilitation & treatment","rehabilitation centres","addiction treatment center","addiction treatment center","Addiction Treatment Center","Addiction Medicine","Drug and Alcohol Rehabilitation Center"
"Adoption Agency","gcid:adoption_agency","adoption agencies","adoption agencies & services","public & social services","community and government,public and social services","non-profit","adoption agencies & services","adoption services","adoption agencies & services","adoption agency","adoption agencies","adoption & fostering","adoption and fostering","adoption agency","adoption agency","Adoption Agency","Adoption Services","Adoption Service / Community Service"
"Adult Day Care Center","gcid:adult_day_care_center","day care centers-adult","adult day care services","day care centers adult","healthcare,assisted living services,caretakers","assisted living","adult day care centers","home care & nurses","day care centers adult","adult day care center","adult day care","adult education centres","personal care services","adult day care center","adult day care center","Adult Day Care Center","Adult Education","Adult Education"
"Adult Education School","gcid:adult_education_school","educational programs","adult education school","schools adult education academic","community and government,education,adult education","school","adult & continuing education","education & instruction","schools adult education academic","adult education","adult and continuing education","adult education centres","adult education centre","adult education school","adult education school","Adult Education School","Adult Education","Adult Education"
"Adult Entertainment Club","gcid:adult_entertainment_club","entertainers-adult","adult entertainment, comedy & dance clubs","adult entertainment","social,entertainment,night clubs","comedy club","adult entertainment comedy & dance clubs","adult entertainment","nightclubs adult entertainment","adult entertainment","adult entertainment","night clubs","adult entertainment","adult entertainment club","adult entertainment club","Adult Entertainment Club","Adult Entertainment","Recreation Centers"
"Adult Entertainment Store","gcid:adult_entertainment_store","miscellaneous retail stores nec","adult entertainment, comedy & dance clubs","adult entertainment","social,entertainment,adult","adult boutique","adult entertainment products & services","adult entertainment","adult entertainment","adult entertainment","adult entertainment","home entertainment","adult entertainment","adult entertainment store","adult entertainment store","Adult Entertainment Store","Adult Entertainment","Recreation Centers"
"Adult Foster Care Service","gcid:adult_foster_care_service","adult care facilities","adult foster care","foster care services","healthcare,assisted living services,caretakers","assisted living","adult foster care","home care & nurses","adult care facilities","adult foster care service","assisted living facilities","adoption & fostering","personal care services","adult foster care service","adult foster care service","Adult Foster Care Service","Assisted Living Facilities","Assisted Living Facilities"
"Advertising Agency","gcid:advertising_agency","advertising-agencies & counselors","advertising agencies & counselors","advertising","businesses and services,advertising and marketing","advertising agency","advertising agencies & consultants","advertising & marketing","advertising agencies","advertising agencies","advertising agencies","advertising - agencies","advertising agencies","advertising agency","advertising agency","Advertising Agency","Advertising","Advertising"
"Aerobics Instructor","gcid:aerobics_instructor","personal trainers-fitness","personal trainers fitness","personal fitness trainers","sports and recreation,personal trainers","gym","personal trainers","lessons & instructors (sports/active)","aerobics & aerobic dancing","aerobics instructor","aerobics","personal trainers","aerobics","aerobics instructor","aerobics instructor","Aerobics Instructor","Local Services","Consulting/Business Services"
"Aerospace Company","gcid:aerospace_company","engineers","aerospace industries","aerospace industries & services","businesses and services,manufacturing","office","aerospace engineers","mechanical engineering","engineers","aerospace company","aerospace consultants","mechanical engineers","aircraft manufacturers and suppliers","aerospace company","aerospace company","Aerospace Company","Local Services","Engineers"
"Afghani Restaurant","gcid:afghani_restaurant","restaurants","restaurants","restaurants","social,food and dining,restaurants","afghan restaurant","afghan restaurants","restaurants","restaurants","afghani restaurant","restaurants","restaurants - other","restaurants","afghani restaurant","afghani restaurant","Afghani Restaurant","Restaurants","Afghan Restaurants"
"African Goods Store","gcid:african_goods_store","african goods-retail","african goods","ethnic products & services","retail,arts and crafts","gift shop","african american goods","gift shops","african goods retail","african goods store","ethnic goods","gift shops","african restaurant","african goods store","african goods store","African Goods Store","Local Services","Gift Shops"
"African Restaurant","gcid:african_restaurant","restaurants","african restaurants","restaurants","social,food and dining,restaurants","african restaurant","african restaurants","restaurants","restaurants african","african restaurants","african","restaurants - african","african restaurant","african restaurant","african restaurant","African Restaurant","African","African Restaurants"
"After School Program","gcid:after_school_program","community organizations","childrens after school programs","community organizations","community and government,education","school","after school programs","community centers","childrens after school programs","after school program","after school care","after school care","childrens after school care and activity clubs","after school program","after school program","After School Program","Local Services","Consulting/Business Services"
"Agricultural Service","gcid:agricultural_service","aerial applicators","agricultural services","agricultural services","businesses and services,agriculture and forestry","garden center","agricultural services","agriculture & farming","agricultural consultants","agricultural service","agricultural services","agricultural services","agricultural consultants","agricultural service","agricultural service","Agricultural Service","Cultural Center","Cultural Center"
"Aikido School","gcid:aikido_school","martial arts instruction","school martial arts","martial arts instruction","sports and recreation,combat sports","martial arts dojo","martial arts instruction","martial arts schools","martial arts instruction","aikido school","aikido","martial arts instruction","martial arts","aikido school","aikido school","Aikido School","Martial Arts","Martial Arts"
"Air Compressor Repair Service","gcid:air_compressor_repair_service","compressors-air & gas-repairing","air compressors sales & svc","air compressors sales & service","businesses and services,repair services","other repair shop","air & gas compressors service & repair","industrial manufacturing","compressors air & gas repairing","air compressor repair service","tool repair","air compressors","air compressors","air compressor repair service","air compressor repair service","Air Compressor Repair Service","Local Services","Consulting/Business Services"
"Air Compressor Supplier","gcid:air_compressor_supplier","air & gas compressors (mfrs)","air compressors sales & svc","air compressors sales & service","businesses and services,industrial machinery and vehicles","miscellaneous shop","air & gas compressor dealers","industrial products","compressors air & gas sales & service","air compressor supplier","wholesale air & gas compressors","air compressors","air compressors","air compressor supplier","air compressor supplier","Air Compressor Supplier","Local Services","Consulting/Business Services"
"Air Conditioning Contractor","gcid:air_conditioning_contractor","air conditioning contractors & systems","air conditioning contractors","air conditioning contractors & systems","businesses and services,home improvement,heating, ventilating and air conditioning","office","air conditioning contractors","air conditioning contractors","air conditioning contractors","air conditioning contractor","air conditioning contractors","air conditioning consultants","air conditioning contractors","air conditioning contractor","air conditioning contractor","Air Conditioning Contractor","Contractors","Contractors"
"Air Conditioning Repair Service","gcid:air_conditioning_repair_service","air conditioning equipment-repair","air conditioning & heating repair","air conditioning systems cleaning","businesses and services,repair services","other repair shop","air conditioning service & repair","air conditioning contractors","air conditioning & heating service & repair","air conditioning services","air conditioning repair","air conditioning consultants","air conditioning installation","air conditioning repair service","air conditioning repair service","Air Conditioning Repair Service","Local Services","Consulting/Business Services"
